A0A0G2KNS1,A0A0R4IJJ4,A0A0R4IVY1,A1L281,A3KPR4,A3KQK1,A5PMF1,E7F2M5,E9QDQ2,E9QGH0,F1R0Q1,F1R366,F8W4T6,Q1RLT5,Q32PV2,Q561S2,Q6T9C2,Q6TEM0,Q71E60,Q7T303,Q7ZTS4,Q802U8,Q804H2,Q9I8P2,Terms
,,,17483306,,,,,17483306,,,,,,,,,,,,,,,,-atpase
,,,,,,,,,,,,,,,,,,,,,,25268673,,a-a8
,,,,,,,,,,,,,,,,,,"25941919,27447243",,,,,,a118g
,,,,,,,,,,,,,,,,,,,,,,17607745,,a2p11
,,,,,,,,,,,,,,,,,,,,,,16843057,,a7delta1-21
,,,,,,,,,,,,,,,,,,,,,,16843057,,a7delta1-29
,,,,,,,,,,,,,,,,,,,,,,16843057,,a7delta10-20
,,,"23777258,24884869,25058458,22869603,17921317,22902692,24600465,18931139,16299177,24179127,21136139,19302419,8078458,26662273,20385816,24890857,21883553,11283165,17032064",,,,,"23777258,24884869,25058458,22869603,17921317,22902692,24600465,18931139,16299177,24179127,21136139,19302419,8078458,26662273,20385816,24890857,21883553,11283165,17032064",,22353860,,,,"23777258,24884869,25058458,22869603,17921317,22902692,24600465,18931139,16299177,24179127,21136139,19302419,8078458,26662273,20385816,24890857,21883553,11283165,17032064",,,,,,29740148,,"28935951,15161963",,aba
,,,"23777258,22869603,26662273",,,,,"23777258,22869603,26662273",,,,,,"23777258,22869603,26662273",,,,,,,,,,aba-induced
,,,,,,,,,,"29879316,29215084",,,,,,,,,,,,,,abcg2
,,,,,,,,,,,28095420,,,,,,,,,"15128297,16000376",,,,abd
,,,22886958,,,,,22886958,,,,,,22886958,22886958,,18207159,,,"10973561,10087197",21249133,,"25461485,25111274",abdominal
,,,"28130356,23747599,26977024,28139025,18454172,21107644,29402414",16230526,,,,"28130356,23747599,26977024,28139025,18454172,21107644,29402414",,"22452979,16543226",27012890,,,"28130356,23747599,22827337,26977024,28139025,18454172,21107644,29402414","28130356,29402414",,23052218,"25043179,25740522",,"16250206,27178841,1695590,20624930,20871598,28225793,23902688,9756910,16015579,19126778,9736733,16865695,21371075,22315443","16230526,15967810","17008549,24030100,24864229",,aberrant
,,,26662259,,,,,26662259,,25578782,,,,26662259,,,,,,"1695590,15529338",,28423508,,aberrantly
,,,,,,,,,,,,,,,,,,,18927281,"22692500,7539673,20047725,22705788,7512983",24435047,,,aberration
,,,"17921317,16299177",,,,,"17921317,16299177",,,,,,"17921317,16299177",,,,,,,,,,abf4
