Terms,Genes,ZIPF_Score,IDF_Score,Articles,Freq_Term,Publications
-atpase,2,2.26,7.984,1,4,17483306
a-a8,1,2.82,7.291,1,7,25268673
a118g,1,0.0,6.886,2,6,"25941919,27447243"
a2p11,1,0.0,7.291,1,7,17607745
a7delta1-21,1,0.0,7.291,1,4,16843057
a7delta1-29,1,0.0,7.291,1,5,16843057
a7delta10-20,1,0.0,7.291,1,4,16843057
aba,6,3.14,4.806,23,61,"23777258,24884869,28935951,25058458,22869603,17921317,22902692,29740148,24600465,18931139,16299177,24179127,21136139,19302419,8078458,26662273,22353860,20385816,24890857,21883553,11283165,17032064,15161963"
aba-induced,3,3.08,6.598,3,12,"23777258,22869603,26662273"
abcg2,1,0.0,6.886,2,9,"29879316,29215084"
abd,2,3.25,6.598,3,9,"28095420,15128297,16000376"
abdominal,8,3.53,5.905,7,10,"25461485,18207159,10973561,25111274,10087197,22886958,21249133"
aberrant,12,2.58,4.458,33,40,"25043179,28130356,27012890,16250206,27178841,1695590,20624930,20871598,28225793,23747599,16230526,17008549,22827337,25740522,24030100,26977024,23902688,9756910,23052218,28139025,22452979,18454172,15967810,21107644,29402414,16015579,19126778,9736733,16865695,24864229,16543226,21371075,22315443"
aberrantly,6,1.08,6.192,5,6,"1695590,28423508,25578782,15529338,26662259"
aberration,3,2.95,5.905,7,9,"18927281,22692500,7539673,20047725,22705788,24435047,7512983"
abf4,3,0.0,6.886,2,7,"17921317,16299177"
abiotic,5,2.33,4.94,20,25,"24498147,22303248,24884869,28935951,28740502,25289013,20484986,17028338,27029354,28615718,17535819,16531057,27905870,21883553,26681628,26471895,22041897,28783755,20978086,27148277"
ablate,3,1.41,6.038,6,7,"7539810,10084315,8977471,29137928,24498331,27575297"
ablation,8,2.59,5.276,14,18,"24491503,20871598,22203159,22057271,12620971,24318880,20393120,16702408,25421395,29225025,27457532,26469136,23357115,18716210"
abnormality,15,2.86,3.75,68,73,"28180184,26446216,22605548,19706426,28944608,27807828,27858715,17221859,12730873,9432020,17934883,22890969,8955270,10606845,19179290,18721865,26160856,28853915,24370435,29220673,20888776,12620971,29329106,8522591,12119299,10739768,28455101,14714564,19901175,10430757,25218043,7539673,1720261,26139080,1918382,11567214,10980529,26071406,8977471,9008238,28117838,24666695,25864721,11518968,21917775,14600690,15800015,23620342,25730001,12825073,12975300,28248273,12034785,23649390,21175634,22492876,24742911,12857878,12325075,27461448,28228639,7813820,18762722,22692895,24636402,28244984,10094187,15781144"
abnormally,8,3.03,5.787,8,8,"12684383,28607044,18721865,8999860,10545598,10869340,24631115,14711882"
abrogate,13,2.25,4.458,33,34,"24403064,27122188,27052191,20032508,17923693,26390982,10993892,25851906,10602474,27922102,27302061,14506658,24179127,22553113,21654845,20356836,29773555,28262924,17671505,8702940,28314829,23707388,12657653,21487036,24903239,26116529,21172611,23303411,21746880,12865345,18256029,21479273,16543226"
abrogation,6,2.28,6.192,5,5,"15611134,25294126,16153598,21321936,25650780"
